,PST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity,Mean Humidity,Min Humidity,Max Sea Level PressureIn,Mean Sea Level PressureIn,Min Sea Level PressureIn,Max VisibilityMiles,Mean VisibilityMiles,Min VisibilityMiles,Max Wind SpeedMPH,Mean Wind SpeedMPH,Max Gust SpeedMPH,PrecipitationIn,CloudCover,Events,WindDirDegrees
2010-01-01 00:00:00-08:00,2010-01-01 00:00:00-08:00,57,54,50,56,51,47,100,92,83,30,30,30,10,8,2.0,10,3.0,13,2015-04-01 00:00:00,8.0,None,93
2010-01-02 00:00:00-08:00,2010-01-02 00:00:00-08:00,55,52,49,54,51,47,100,92,83,30,30,30,10,6,0.0,12,5.0,23,0.0,7.0,Fog,25
2010-01-03 00:00:00-08:00,2010-01-03 00:00:00-08:00,55,51,46,50,47,45,100,89,77,30,30,30,10,10,9.0,15,5.0,17,0.0,3.0,None,84
2010-01-04 00:00:00-08:00,2010-01-04 00:00:00-08:00,54,50,46,48,45,43,93,82,71,30,30,30,10,7,4.0,14,4.0,15,0.0,5.0,None,106
2010-01-05 00:00:00-08:00,2010-01-05 00:00:00-08:00,61,52,42,49,46,42,100,89,77,30,30,30,10,7,3.0,15,3.0,23,0.0,4.0,None,35
2010-01-06 00:00:00-08:00,2010-01-06 00:00:00-08:00,54,50,46,47,45,44,93,85,77,30,30,30,9,5,2.0,14,5.0,15,0.0,4.0,None,19
2010-01-07 00:00:00-08:00,2010-01-07 00:00:00-08:00,53,52,50,50,47,45,100,92,83,30,30,30,8,4,1.0,10,4.0,12,0.0,5.0,None,8
2010-01-08 00:00:00-08:00,2010-01-08 00:00:00-08:00,54,51,47,47,46,45,93,85,77,30,30,30,10,6,5.0,14,6.0,15,2015-04-01 00:00:00,5.0,None,33
2010-01-09 00:00:00-08:00,2010-01-09 00:00:00-08:00,54,49,44,48,46,44,100,89,77,30,30,30,10,8,5.0,13,3.0,14,0.0,5.0,None,131
2010-01-10 00:00:00-08:00,2010-01-10 00:00:00-08:00,52,49,45,48,46,44,100,89,77,30,30,30,10,4,0.0,9,2.0,13,0.0,7.0,Fog,41
2010-01-11 00:00:00-08:00,2010-01-11 00:00:00-08:00,56,52,47,49,47,45,93,85,77,30,30,30,10,8,6.0,20,5.0,24,0.0,7.0,None,36
2010-01-12 00:00:00-08:00,2010-01-12 00:00:00-08:00,62,58,53,56,53,48,93,86,78,30,30,29,10,9,5.0,29,12.0,37,0,8.0,Rain,146
2010-01-13 00:00:00-08:00,2010-01-13 00:00:00-08:00,60,56,51,55,50,48,93,83,72,30,30,29,10,10,9.0,29,12.0,36,0,5.0,Rain,263
2010-01-14 00:00:00-08:00,2010-01-14 00:00:00-08:00,59,52,45,51,47,45,100,86,72,30,30,30,10,5,0.0,12,1.0,13,0.0,4.0,Fog,323
2010-01-15 00:00:00-08:00,2010-01-15 00:00:00-08:00,54,50,46,49,47,45,93,85,77,30,30,30,10,9,6.0,9,3.0,10,0.0,6.0,None,55
2010-01-16 00:00:00-08:00,2010-01-16 00:00:00-08:00,57,52,46,54,48,46,93,83,72,30,29,29,10,7,3.0,12,3.0,17,2015-04-01 00:00:00,7.0,Rain,111
2010-01-17 00:00:00-08:00,2010-01-17 00:00:00-08:00,56,54,51,52,49,46,93,83,72,29,29,29,10,9,3.0,24,10.0,32,0,8.0,Rain,180
2010-01-18 00:00:00-08:00,2010-01-18 00:00:00-08:00,58,55,51,52,48,39,93,79,64,29,29,29,10,8,2.0,44,18.0,59,0,7.0,Rain,161
2010-01-19 00:00:00-08:00,2010-01-19 00:00:00-08:00,58,54,50,49,46,42,89,80,71,29,29,29,10,8,0.0,44,17.0,60,1,7.0,Rain-Thunderstorm,176
2010-01-20 00:00:00-08:00,2010-01-20 00:00:00-08:00,55,52,49,48,46,42,93,84,74,29,29,29,10,7,1.0,39,19.0,51,1,8.0,Rain,172
2010-01-21 00:00:00-08:00,2010-01-21 00:00:00-08:00,51,47,43,45,43,39,93,87,80,29,29,28,10,6,2.0,26,10.0,32,0,8.0,Rain-Thunderstorm,38
2010-01-22 00:00:00-08:00,2010-01-22 00:00:00-08:00,49,47,44,45,42,41,93,87,80,29,29,29,10,10,4.0,18,8.0,25,0,7.0,Rain,146
2010-01-23 00:00:00-08:00,2010-01-23 00:00:00-08:00,54,50,45,47,45,43,93,82,71,30,30,29,10,10,9.0,15,5.0,23,0,5.0,Rain,129
2010-01-24 00:00:00-08:00,2010-01-24 00:00:00-08:00,54,49,43,47,44,42,93,82,71,30,30,30,10,10,10.0,17,4.0,24,0,7.0,Rain,129
2010-01-25 00:00:00-08:00,2010-01-25 00:00:00-08:00,57,54,50,52,48,44,100,86,72,30,29,29,10,9,4.0,24,9.0,35,0,8.0,Rain,133
2010-01-26 00:00:00-08:00,2010-01-26 00:00:00-08:00,53,50,47,52,49,46,96,90,83,30,29,29,10,8,3.0,16,5.0,18,0,7.0,Rain,64
2010-01-27 00:00:00-08:00,2010-01-27 00:00:00-08:00,54,49,43,50,47,42,100,92,83,30,30,30,10,9,7.0,15,4.0,17,0.0,6.0,None,263
2010-01-28 00:00:00-08:00,2010-01-28 00:00:00-08:00,56,51,46,49,47,45,93,83,72,30,30,30,10,9,6.0,9,3.0,10,0.0,6.0,None,110
2010-01-29 00:00:00-08:00,2010-01-29 00:00:00-08:00,60,53,46,50,48,45,93,75,57,30,30,29,10,8,4.0,25,6.0,30,0,7.0,Rain,177
2010-01-30 00:00:00-08:00,2010-01-30 00:00:00-08:00,58,51,44,49,47,44,100,84,67,30,30,30,10,10,10.0,14,5.0,16,0.0,4.0,None,163
2010-01-31 00:00:00-08:00,2010-01-31 00:00:00-08:00,55,51,47,50,47,45,100,92,83,30,30,29,10,10,9.0,8,3.0,9,0.0,6.0,None,133
2010-02-01 00:00:00-08:00,2010-02-01 00:00:00-08:00,58,53,47,50,46,42,93,78,62,29,29,29,10,10,10.0,14,3.0,15,0.0,7.0,None,31
2010-02-02 00:00:00-08:00,2010-02-02 00:00:00-08:00,56,52,47,50,47,44,89,83,77,29,29,29,10,10,9.0,12,2.0,13,2015-04-01 00:00:00,6.0,Rain,74
2010-02-03 00:00:00-08:00,2010-02-03 00:00:00-08:00,60,52,44,50,48,43,100,86,72,29,29,29,10,10,8.0,16,3.0,18,0.0,5.0,None,306
2010-02-04 00:00:00-08:00,2010-02-04 00:00:00-08:00,59,55,50,54,49,43,100,77,53,29,29,29,10,9,4.0,29,12.0,36,0,8.0,Rain,137
2010-02-05 00:00:00-08:00,2010-02-05 00:00:00-08:00,62,55,47,53,49,44,100,83,66,29,29,29,10,9,2.0,22,7.0,28,2015-04-01 00:00:00,7.0,None,157
2010-02-06 00:00:00-08:00,2010-02-06 00:00:00-08:00,57,54,50,50,47,45,89,78,66,29,29,29,10,10,8.0,25,12.0,29,0,6.0,Rain,236
2010-02-07 00:00:00-08:00,2010-02-07 00:00:00-08:00,57,54,50,47,45,42,83,72,61,30,30,29,10,10,10.0,22,13.0,26,2015-04-01 00:00:00,3.0,None,285
2010-02-08 00:00:00-08:00,2010-02-08 00:00:00-08:00,55,52,48,47,45,42,86,74,61,30,30,29,10,10,7.0,15,7.0,17,0,7.0,Rain,229
2010-02-09 00:00:00-08:00,2010-02-09 00:00:00-08:00,56,52,47,47,44,40,93,76,59,29,29,29,10,10,3.0,18,9.0,23,0,6.0,Rain,83
2010-02-10 00:00:00-08:00,2010-02-10 00:00:00-08:00,57,52,46,47,45,42,93,80,66,30,30,29,10,10,8.0,21,8.0,24,0.0,6.0,None,251
2010-02-11 00:00:00-08:00,2010-02-11 00:00:00-08:00,59,53,46,49,45,39,93,74,55,30,30,30,10,10,10.0,15,6.0,21,2015-04-01 00:00:00,6.0,None,136
2010-02-12 00:00:00-08:00,2010-02-12 00:00:00-08:00,62,57,52,55,52,48,96,84,72,30,30,30,10,9,4.0,14,6.0,17,0,7.0,Rain,155
2010-02-13 00:00:00-08:00,2010-02-13 00:00:00-08:00,61,57,52,55,52,49,100,86,72,30,30,30,10,7,0.0,14,6.0,16,2015-04-01 00:00:00,6.0,Fog,12
2010-02-14 00:00:00-08:00,2010-02-14 00:00:00-08:00,60,54,48,52,50,47,100,86,72,30,30,30,10,4,0.0,18,5.0,22,0.0,5.0,Fog,16
2010-02-15 00:00:00-08:00,2010-02-15 00:00:00-08:00,62,55,48,54,51,47,100,89,78,30,30,30,10,6,0.0,25,8.0,29,0.0,4.0,Fog,306
2010-02-16 00:00:00-08:00,2010-02-16 00:00:00-08:00,65,58,50,53,51,48,100,86,72,30,30,30,10,5,0.0,22,6.0,25,0.0,4.0,Fog,218
2010-02-17 00:00:00-08:00,2010-02-17 00:00:00-08:00,65,56,47,55,51,46,100,84,67,30,30,29,10,4,0.0,12,3.0,14,0.0,4.0,Fog,298
2010-02-18 00:00:00-08:00,2010-02-18 00:00:00-08:00,58,54,50,52,50,46,100,90,80,29,29,29,10,6,0.0,16,8.0,18,0.0,6.0,Fog,286
2010-02-19 00:00:00-08:00,2010-02-19 00:00:00-08:00,57,54,50,49,47,45,89,78,66,29,29,29,10,10,9.0,13,5.0,16,0.0,7.0,None,224
2010-02-20 00:00:00-08:00,2010-02-20 00:00:00-08:00,56,53,50,49,46,39,83,75,66,29,29,29,10,10,10.0,22,11.0,26,2015-04-01 00:00:00,7.0,None,264
2010-02-21 00:00:00-08:00,2010-02-21 00:00:00-08:00,56,53,50,52,48,41,100,80,59,30,29,29,10,7,2.0,21,7.0,23,0,8.0,Rain,298
2010-02-22 00:00:00-08:00,2010-02-22 00:00:00-08:00,60,55,49,48,44,32,93,64,35,30,30,30,10,10,9.0,16,4.0,18,0.0,6.0,None,311
2010-02-23 00:00:00-08:00,2010-02-23 00:00:00-08:00,56,53,49,52,45,39,93,78,63,30,30,30,10,9,4.0,26,10.0,40,0,8.0,Rain,129
2010-02-24 00:00:00-08:00,2010-02-24 00:00:00-08:00,57,55,52,54,51,48,100,89,77,30,30,30,10,8,2.0,23,10.0,40,0,7.0,Rain,243
2010-02-25 00:00:00-08:00,2010-02-25 00:00:00-08:00,63,57,50,52,49,47,93,80,67,30,30,30,10,10,10.0,10,5.0,13,0.0,6.0,None,18
2010-02-26 00:00:00-08:00,2010-02-26 00:00:00-08:00,61,57,52,55,50,45,93,74,55,30,29,29,10,9,2.0,35,11.0,44,0,7.0,Rain,156
2010-02-27 00:00:00-08:00,2010-02-27 00:00:00-08:00,59,55,50,50,48,45,89,78,67,29,29,29,10,10,8.0,17,9.0,20,0,5.0,Rain,296
2010-02-28 00:00:00-08:00,2010-02-28 00:00:00-08:00,62,55,47,52,49,47,96,83,69,30,29,29,10,9,8.0,20,9.0,23,0.0,5.0,None,269
2010-03-01 00:00:00-08:00,2010-03-01 00:00:00-08:00,59,55,51,51,48,47,89,78,67,30,30,29,10,10,7.0,25,9.0,29,2015-04-01 00:00:00,8.0,None,171
2010-03-02 00:00:00-08:00,2010-03-02 00:00:00-08:00,58,55,51,53,49,45,100,84,67,29,29,29,10,9,4.0,18,9.0,22,0,6.0,Rain,181
2010-03-03 00:00:00-08:00,2010-03-03 00:00:00-08:00,57,51,45,50,45,39,96,76,55,29,29,29,10,8,2.0,33,9.0,44,0,7.0,Rain,225
2010-03-04 00:00:00-08:00,2010-03-04 00:00:00-08:00,56,49,41,43,41,39,89,72,55,30,30,30,10,10,10.0,21,8.0,26,0.0,3.0,None,272
2010-03-05 00:00:00-08:00,2010-03-05 00:00:00-08:00,57,51,44,45,43,40,86,71,55,30,29,29,10,10,10.0,12,6.0,14,0.0,7.0,None,78
2010-03-06 00:00:00-08:00,2010-03-06 00:00:00-08:00,64,57,50,50,45,40,89,67,44,29,29,29,10,10,10.0,15,6.0,18,0.0,6.0,None,289
2010-03-07 00:00:00-08:00,2010-03-07 00:00:00-08:00,59,56,52,50,47,44,89,80,71,30,29,29,10,10,10.0,35,17.0,41,0.0,5.0,None,267
2010-03-08 00:00:00-08:00,2010-03-08 00:00:00-08:00,56,51,46,46,40,33,77,62,46,30,30,30,10,10,10.0,31,17.0,40,0,5.0,Rain,277
2010-03-09 00:00:00-08:00,2010-03-09 00:00:00-08:00,55,48,40,46,36,32,79,61,43,30,30,30,10,10,7.0,32,12.0,39,0,4.0,Rain,279
2010-03-10 00:00:00-08:00,2010-03-10 00:00:00-08:00,56,51,46,41,37,32,71,57,43,30,30,30,10,10,10.0,32,13.0,40,0,2.0,Rain,301
2010-03-11 00:00:00-08:00,2010-03-11 00:00:00-08:00,59,55,51,45,40,30,89,65,41,30,30,30,10,10,10.0,14,5.0,18,0.0,3.0,None,239
2010-03-12 00:00:00-08:00,2010-03-12 00:00:00-08:00,58,53,48,55,46,39,96,80,63,30,30,29,10,7,2.0,28,10.0,35,0,7.0,Rain,206
2010-03-13 00:00:00-08:00,2010-03-13 00:00:00-08:00,57,50,42,41,38,35,82,63,43,30,30,30,10,10,10.0,25,9.0,31,0.0,1.0,None,300
2010-03-14 00:00:00-08:00,2010-03-14 00:00:00-08:00,63,53,42,45,40,31,77,55,32,30,30,30,10,10,10.0,25,8.0,29,0.0,3.0,None,254
2010-03-15 00:00:00-07:00,2010-03-15 00:00:00-07:00,67,56,44,48,43,38,86,63,39,30,30,30,10,10,10.0,13,3.0,20,0.0,4.0,None,334
2010-03-16 00:00:00-07:00,2010-03-16 00:00:00-07:00,67,59,50,53,49,43,89,73,56,30,30,30,10,10,9.0,23,7.0,26,0.0,6.0,None,294
2010-03-17 00:00:00-07:00,2010-03-17 00:00:00-07:00,71,62,52,55,49,47,83,68,53,30,30,30,10,10,10.0,25,9.0,30,0.0,5.0,None,288
2010-03-18 00:00:00-07:00,2010-03-18 00:00:00-07:00,73,61,48,53,45,31,89,59,28,30,29,29,10,10,10.0,20,6.0,22,0.0,0.0,None,300
2010-03-19 00:00:00-07:00,2010-03-19 00:00:00-07:00,78,66,53,50,39,29,69,45,20,30,30,29,10,10,10.0,17,7.0,21,0.0,1.0,None,124
2010-03-20 00:00:00-07:00,2010-03-20 00:00:00-07:00,63,57,50,51,47,39,89,70,51,30,30,30,10,10,10.0,24,8.0,28,0.0,5.0,None,299
2010-03-21 00:00:00-07:00,2010-03-21 00:00:00-07:00,63,56,49,53,49,46,93,80,67,30,30,30,10,10,9.0,26,10.0,30,0.0,6.0,None,276
2010-03-22 00:00:00-07:00,2010-03-22 00:00:00-07:00,64,57,50,49,47,46,89,73,56,30,30,30,10,10,9.0,23,11.0,26,0.0,1.0,None,281
2010-03-23 00:00:00-07:00,2010-03-23 00:00:00-07:00,71,60,48,49,45,35,93,61,28,30,30,30,10,10,9.0,23,9.0,26,0.0,1.0,None,279
2010-03-24 00:00:00-07:00,2010-03-24 00:00:00-07:00,62,55,47,53,46,43,100,79,57,30,30,30,10,10,5.0,29,10.0,36,0,5.0,Rain,235
2010-03-25 00:00:00-07:00,2010-03-25 00:00:00-07:00,60,55,49,52,46,43,100,77,53,30,30,30,10,10,10.0,22,11.0,25,0,5.0,Rain,246
2010-03-26 00:00:00-07:00,2010-03-26 00:00:00-07:00,62,55,47,45,42,39,86,69,51,30,30,30,10,10,10.0,18,9.0,22,0.0,1.0,None,302
2010-03-27 00:00:00-07:00,2010-03-27 00:00:00-07:00,69,57,45,48,43,39,82,58,33,30,30,30,10,10,10.0,20,6.0,23,0.0,1.0,None,212
2010-03-28 00:00:00-07:00,2010-03-28 00:00:00-07:00,70,60,49,53,46,37,89,62,34,30,30,30,10,10,10.0,21,7.0,23,0.0,5.0,None,285
2010-03-29 00:00:00-07:00,2010-03-29 00:00:00-07:00,63,59,54,56,52,46,86,79,72,30,30,29,10,9,4.0,23,10.0,26,0,7.0,Rain,191
2010-03-30 00:00:00-07:00,2010-03-30 00:00:00-07:00,61,55,49,54,46,40,89,68,47,29,29,29,10,9,5.0,28,17.0,40,0,6.0,Rain,241
2010-03-31 00:00:00-07:00,2010-03-31 00:00:00-07:00,58,52,45,45,41,36,89,66,43,29,29,29,10,9,3.0,22,8.0,26,0,6.0,Rain,204
2010-04-01 00:00:00-07:00,2010-04-01 00:00:00-07:00,58,52,45,44,41,38,92,70,47,30,30,29,10,10,10.0,28,12.0,33,2015-04-01 00:00:00,5.0,Rain,282
2010-04-02 00:00:00-07:00,2010-04-02 00:00:00-07:00,59,54,48,56,46,39,83,75,66,30,30,30,10,8,2.0,26,12.0,33,0,6.0,Rain,233
2010-04-03 00:00:00-07:00,2010-04-03 00:00:00-07:00,57,51,45,41,38,35,77,62,47,30,30,29,10,10,10.0,22,10.0,26,0.0,4.0,None,272
2010-04-04 00:00:00-07:00,2010-04-04 00:00:00-07:00,56,52,48,51,45,39,93,80,66,29,29,29,10,8,3.0,31,12.0,39,0,7.0,Rain,177
2010-04-05 00:00:00-07:00,2010-04-05 00:00:00-07:00,58,52,46,45,42,37,86,67,47,30,30,29,10,10,9.0,16,6.0,22,0,4.0,Rain,239
2010-04-06 00:00:00-07:00,2010-04-06 00:00:00-07:00,62,53,44,44,42,40,89,68,46,30,30,30,10,10,10.0,25,10.0,28,0.0,1.0,None,282
2010-04-07 00:00:00-07:00,2010-04-07 00:00:00-07:00,69,58,46,49,45,41,86,64,42,30,30,30,10,10,10.0,29,10.0,33,0.0,0.0,None,282
2010-04-08 00:00:00-07:00,2010-04-08 00:00:00-07:00,61,55,48,47,45,43,83,67,51,30,30,29,10,10,8.0,29,14.0,35,0.0,1.0,None,263
2010-04-09 00:00:00-07:00,2010-04-09 00:00:00-07:00,69,57,45,47,41,36,86,60,34,29,29,29,10,10,9.0,20,8.0,22,0.0,1.0,None,282
2010-04-10 00:00:00-07:00,2010-04-10 00:00:00-07:00,59,56,53,46,44,41,77,64,51,29,29,29,10,10,10.0,29,15.0,38,2015-04-01 00:00:00,7.0,Rain,189
2010-04-11 00:00:00-07:00,2010-04-11 00:00:00-07:00,56,53,49,48,45,41,93,76,59,29,29,29,10,8,2.0,28,16.0,35,0,8.0,Rain,145
2010-04-12 00:00:00-07:00,2010-04-12 00:00:00-07:00,59,54,49,49,46,45,83,75,66,30,29,29,10,8,2.0,22,12.0,31,0,7.0,Rain-Thunderstorm,216
2010-04-13 00:00:00-07:00,2010-04-13 00:00:00-07:00,60,55,50,46,45,42,83,70,57,30,30,30,10,10,10.0,22,12.0,29,0.0,5.0,None,277
2010-04-14 00:00:00-07:00,2010-04-14 00:00:00-07:00,60,54,48,45,43,38,86,65,44,30,30,30,10,10,10.0,20,8.0,24,0.0,3.0,None,255
2010-04-15 00:00:00-07:00,2010-04-15 00:00:00-07:00,66,57,47,48,45,42,86,71,56,30,30,29,10,10,10.0,20,7.0,23,0.0,5.0,None,285
2010-04-16 00:00:00-07:00,2010-04-16 00:00:00-07:00,69,60,50,50,46,44,77,60,42,30,30,30,10,10,10.0,18,8.0,22,0.0,3.0,None,262
2010-04-17 00:00:00-07:00,2010-04-17 00:00:00-07:00,67,60,53,54,51,48,86,73,60,30,30,29,10,10,10.0,12,10.0,13,0.0,5.0,None,292
2010-04-18 00:00:00-07:00,2010-04-18 00:00:00-07:00,76,62,48,53,47,42,83,57,31,29,29,29,10,10,10.0,23,6.0,26,0.0,1.0,None,287
2010-04-19 00:00:00-07:00,2010-04-19 00:00:00-07:00,66,58,50,52,48,41,89,69,49,29,29,29,10,10,10.0,24,10.0,29,0.0,5.0,None,205
2010-04-20 00:00:00-07:00,2010-04-20 00:00:00-07:00,60,55,49,54,46,40,93,74,55,29,29,29,10,9,4.0,26,18.0,33,0,7.0,Rain,266
2010-04-21 00:00:00-07:00,2010-04-21 00:00:00-07:00,57,53,49,44,42,38,77,66,54,29,29,29,10,10,9.0,35,19.0,43,0,6.0,Rain,289
2010-04-22 00:00:00-07:00,2010-04-22 00:00:00-07:00,65,57,48,47,45,42,86,65,44,29,29,29,10,10,9.0,18,9.0,23,0.0,3.0,None,284
2010-04-23 00:00:00-07:00,2010-04-23 00:00:00-07:00,67,58,48,51,47,43,83,68,52,30,30,29,10,9,7.0,26,11.0,33,0.0,2.0,None,277
2010-04-24 00:00:00-07:00,2010-04-24 00:00:00-07:00,63,55,47,49,46,43,86,71,55,30,30,30,10,10,8.0,26,12.0,31,0.0,1.0,None,273
